work_order_number,dwr_name,technician,tech_subsidiary,job_stop_date,milestone,dummy_unit,on_site_hours,scope_of_work_performed
WO-35000038,DWR-11000565,PSG Technician 39,Pearce Services Global,2025-06-12,Design,Design QC,2.57,Synthetic design quality-control review completed.
WO-35000038,DWR-11000566,PSG Technician 07,Pearce Services Global,2025-06-13,Final Delivery,Final Delivery,1.05,Synthetic final package review and delivery.
WO-35000038,DWR-11000567,PSG Technician 38,Pearce Services Global,2025-06-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000038,DWR-11000568,PSG Technician 35,Pearce Services Global,2025-06-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000039,DWR-11000569,PSG Technician 10,Pearce Services Global,2025-12-17,Intake,Intake,0.4,Synthetic WO and project folder created.
WO-35000039,DWR-11000570,PSG Technician 23,Pearce Services Global,2025-12-17,Pre-field,Pre-field,0.62,Synthetic scoping and site-map preparation completed.
WO-35000039,DWR-11000571,US Field Technician 01,Pearce Services,2025-12-22,Fielding,Field Travel,0.91,Synthetic travel to and from the work site.
WO-35000039,DWR-11000572,US Field Technician 01,Pearce Services,2025-12-22,Fielding,Site Visit,0.82,Synthetic site visit and local-contact coordination.
WO-35000039,DWR-11000573,US Field Technician 01,Pearce Services,2025-12-22,Fielding,Fielding,2.19,Synthetic aerial/buried field measurements captured.
WO-35000039,DWR-11000574,PSG Technician 39,Pearce Services Global,2025-12-24,Fielding,Field QC,0.51,Synthetic field package reviewed.
WO-35000039,DWR-11000575,PSG Technician 30,Pearce Services Global,2025-12-24,OCALC,Pole loading,1.16,Synthetic pole-loading extraction and submission.
WO-35000039,DWR-11000576,PSG Technician 40,Pearce Services Global,2025-12-27,Design,Design,3.28,Synthetic design production and record correction.
WO-35000039,DWR-11000577,PSG Technician 27,Pearce Services Global,2025-12-29,Design,Design QC,3.01,Synthetic design quality-control review completed.
WO-35000039,DWR-11000578,PSG Technician 35,Pearce Services Global,2025-12-30,Permitting,Unscaled Permit,4.43,Synthetic permit preparation or submission activity.
WO-35000039,DWR-11000579,PSG Technician 01,Pearce Services Global,2025-12-31,Final Delivery,Final Delivery,0.83,Synthetic final package review and delivery.
WO-35000039,DWR-11000580,PSG Technician 36,Pearce Services Global,2025-12-31,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000039,DWR-11000581,PSG Technician 39,Pearce Services Global,2025-12-31,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000039,DWR-11000582,PSG Technician 38,Pearce Services Global,2025-12-31,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000040,DWR-11000583,PSG Technician 20,Pearce Services Global,2025-10-19,Intake,Intake,0.59,Synthetic WO and project folder created.
WO-35000040,DWR-11000584,PSG Technician 13,Pearce Services Global,2025-10-19,Pre-field,Pre-field,2.49,Synthetic scoping and site-map preparation completed.
WO-35000040,DWR-11000585,US Field Technician 04,Pearce Services,2025-10-21,Fielding,Field Travel,0.37,Synthetic travel to and from the work site.
WO-35000040,DWR-11000586,US Field Technician 04,Pearce Services,2025-10-21,Fielding,Site Visit,1.75,Synthetic site visit and local-contact coordination.
WO-35000040,DWR-11000587,US Field Technician 04,Pearce Services,2025-10-21,Fielding,Fielding,6.43,Synthetic aerial/buried field measurements captured.
WO-35000040,DWR-11000588,PSG Technician 31,Pearce Services Global,2025-10-22,Fielding,Field QC,0.27,Synthetic field package reviewed.
WO-35000040,DWR-11000589,PSG Technician 17,Pearce Services Global,2025-10-22,OCALC,Pole loading,1.72,Synthetic pole-loading extraction and submission.
WO-35000040,DWR-11000590,PSG Technician 40,Pearce Services Global,2025-10-24,Design,Design,5.2,Synthetic design production and record correction.
WO-35000040,DWR-11000591,PSG Technician 39,Pearce Services Global,2025-10-25,Design,Design,7.58,Synthetic design production and record correction.
WO-35000040,DWR-11000592,PSG Technician 20,Pearce Services Global,2025-10-25,Design,Design,2.58,Synthetic design production and record correction.
WO-35000040,DWR-11000593,PSG Technician 36,Pearce Services Global,2025-10-26,Design,Design QC,1.97,Synthetic design quality-control review completed.
WO-35000040,DWR-11000594,PSG Technician 36,Pearce Services Global,2025-10-29,Permitting,Permit Admin,0.54,Synthetic permit preparation or submission activity.
WO-35000040,DWR-11000595,PSG Technician 09,Pearce Services Global,2025-10-29,Permitting,Unscaled Permit,1.37,Synthetic permit preparation or submission activity.
WO-35000040,DWR-11000596,PSG Technician 20,Pearce Services Global,2025-10-29,Permitting,Quality Control - Permit,2.43,Synthetic permit preparation or submission activity.
WO-35000040,DWR-11000597,PSG Technician 10,Pearce Services Global,2025-11-01,Final Delivery,Final Delivery,0.89,Synthetic final package review and delivery.
WO-35000040,DWR-11000598,PSG Technician 06,Pearce Services Global,2025-11-01,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000040,DWR-11000599,PSG Technician 33,Pearce Services Global,2025-11-01,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000040,DWR-11000600,PSG Technician 16,Pearce Services Global,2025-11-01,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000041,DWR-11000601,PSG Technician 10,Pearce Services Global,2026-02-21,Intake,Intake,0.51,Synthetic WO and project folder created.
WO-35000041,DWR-11000602,PSG Technician 16,Pearce Services Global,2026-02-23,Pre-field,Pre-field,2.15,Synthetic scoping and site-map preparation completed.
WO-35000041,DWR-11000603,US Field Technician 05,Pearce Services,2026-03-02,Fielding,Field Travel,3.93,Synthetic travel to and from the work site.
WO-35000041,DWR-11000604,US Field Technician 05,Pearce Services,2026-03-02,Fielding,Site Visit,1.32,Synthetic site visit and local-contact coordination.
WO-35000041,DWR-11000605,US Field Technician 05,Pearce Services,2026-03-02,Fielding,Fielding,2.72,Synthetic aerial/buried field measurements captured.
WO-35000041,DWR-11000606,PSG Technician 39,Pearce Services Global,2026-03-05,Fielding,Field QC,0.39,Synthetic field package reviewed.
WO-35000041,DWR-11000607,PSG Technician 11,Pearce Services Global,2026-03-05,OCALC,Pole loading,1.98,Synthetic pole-loading extraction and submission.
WO-35000041,DWR-11000608,PSG Technician 20,Pearce Services Global,2026-03-07,Design,Design,7.6,Synthetic design production and record correction.
WO-35000041,DWR-11000609,PSG Technician 01,Pearce Services Global,2026-03-07,Design,Design,6.07,Synthetic design production and record correction.
WO-35000041,DWR-11000610,PSG Technician 26,Pearce Services Global,2026-03-08,Design,Design QC,0.92,Synthetic design quality-control review completed.
WO-35000041,DWR-11000611,PSG Technician 18,Pearce Services Global,2026-03-11,Permitting,Permit Admin,1.19,Synthetic permit preparation or submission activity.
WO-35000041,DWR-11000612,PSG Technician 39,Pearce Services Global,2026-03-11,Permitting,Unscaled Permit,3.17,Synthetic permit preparation or submission activity.
WO-35000041,DWR-11000613,PSG Technician 13,Pearce Services Global,2026-03-11,Permitting,Quality Control - Permit,2.3,Synthetic permit preparation or submission activity.
WO-35000041,DWR-11000614,PSG Technician 37,Pearce Services Global,2026-03-15,Final Delivery,Final Delivery,0.57,Synthetic final package review and delivery.
WO-35000041,DWR-11000615,PSG Technician 23,Pearce Services Global,2026-03-15,Final Delivery,Rework - Final Delivery,2.23,Synthetic final-delivery correction.
WO-35000041,DWR-11000616,PSG Technician 01,Pearce Services Global,2026-03-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000041,DWR-11000617,PSG Technician 03,Pearce Services Global,2026-03-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000041,DWR-11000618,PSG Technician 21,Pearce Services Global,2026-03-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000042,DWR-11000619,PSG Technician 08,Pearce Services Global,2025-07-04,Intake,Intake,0.32,Synthetic WO and project folder created.
WO-35000042,DWR-11000620,PSG Technician 35,Pearce Services Global,2025-07-04,Pre-field,Pre-field,1.52,Synthetic scoping and site-map preparation completed.
WO-35000042,DWR-11000621,US Field Technician 19,Pearce Services,2025-07-09,Fielding,Field Travel,0.25,Synthetic travel to and from the work site.
WO-35000042,DWR-11000622,US Field Technician 19,Pearce Services,2025-07-09,Fielding,Site Visit,1.25,Synthetic site visit and local-contact coordination.
WO-35000042,DWR-11000623,US Field Technician 19,Pearce Services,2025-07-09,Fielding,Fielding,0.5,Synthetic aerial/buried field measurements captured.
WO-35000042,DWR-11000624,PSG Technician 38,Pearce Services Global,2025-07-12,Fielding,Field QC,0.29,Synthetic field package reviewed.
WO-35000042,DWR-11000625,PSG Technician 30,Pearce Services Global,2025-07-15,Design,Design,5.13,Synthetic design production and record correction.
WO-35000042,DWR-11000626,PSG Technician 29,Pearce Services Global,2025-07-15,Design,Design,4.58,Synthetic design production and record correction.
WO-35000042,DWR-11000627,PSG Technician 36,Pearce Services Global,2025-07-17,Design,Design,1.54,Synthetic design production and record correction.
WO-35000042,DWR-11000628,PSG Technician 24,Pearce Services Global,2025-07-17,Design,Design QC,2.6,Synthetic design quality-control review completed.
WO-35000042,DWR-11000629,PSG Technician 21,Pearce Services Global,2025-07-19,Permitting,Permit Admin,0.37,Synthetic permit preparation or submission activity.
WO-35000042,DWR-11000630,PSG Technician 18,Pearce Services Global,2025-07-19,Permitting,Unscaled Permit,3.84,Synthetic permit preparation or submission activity.
WO-35000042,DWR-11000631,PSG Technician 19,Pearce Services Global,2025-07-19,Permitting,Quality Control - Permit,0.66,Synthetic permit preparation or submission activity.
WO-35000042,DWR-11000632,PSG Technician 04,Pearce Services Global,2025-07-20,Final Delivery,Final Delivery,1.03,Synthetic final package review and delivery.
WO-35000042,DWR-11000633,PSG Technician 35,Pearce Services Global,2025-07-20,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000042,DWR-11000634,PSG Technician 08,Pearce Services Global,2025-07-20,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000042,DWR-11000635,PSG Technician 12,Pearce Services Global,2025-07-20,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000043,DWR-11000636,PSG Technician 21,Pearce Services Global,2025-06-12,Intake,Intake,0.66,Synthetic WO and project folder created.
WO-35000043,DWR-11000637,PSG Technician 21,Pearce Services Global,2025-06-13,Pre-field,Pre-field,2.09,Synthetic scoping and site-map preparation completed.
WO-35000043,DWR-11000638,US Field Technician 18,Pearce Services,2025-06-17,Fielding,Field Travel,2.49,Synthetic travel to and from the work site.
WO-35000043,DWR-11000639,US Field Technician 18,Pearce Services,2025-06-17,Fielding,Site Visit,1.0,Synthetic site visit and local-contact coordination.
WO-35000043,DWR-11000640,US Field Technician 18,Pearce Services,2025-06-17,Fielding,Fielding,4.36,Synthetic aerial/buried field measurements captured.
WO-35000043,DWR-11000641,PSG Technician 05,Pearce Services Global,2025-06-21,Fielding,Field QC,0.31,Synthetic field package reviewed.
WO-35000043,DWR-11000642,PSG Technician 07,Pearce Services Global,2025-06-21,OCALC,Pole loading,1.55,Synthetic pole-loading extraction and submission.
WO-35000043,DWR-11000643,PSG Technician 26,Pearce Services Global,2025-06-25,Design,Design,6.79,Synthetic design production and record correction.
WO-35000043,DWR-11000644,PSG Technician 33,Pearce Services Global,2025-06-26,Design,Design QC,2.77,Synthetic design quality-control review completed.
WO-35000043,DWR-11000645,PSG Technician 28,Pearce Services Global,2025-06-28,Final Delivery,Final Delivery,0.89,Synthetic final package review and delivery.
WO-35000043,DWR-11000646,PSG Technician 09,Pearce Services Global,2025-06-28,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000043,DWR-11000647,PSG Technician 38,Pearce Services Global,2025-06-28,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000044,DWR-11000648,PSG Technician 21,Pearce Services Global,2025-12-29,Intake,Intake,0.44,Synthetic WO and project folder created.
WO-35000044,DWR-11000649,PSG Technician 34,Pearce Services Global,2025-12-29,Pre-field,Pre-field,2.36,Synthetic scoping and site-map preparation completed.
WO-35000044,DWR-11000650,US Field Technician 12,Pearce Services,2026-01-03,Fielding,Field Travel,0.25,Synthetic travel to and from the work site.
WO-35000044,DWR-11000651,US Field Technician 12,Pearce Services,2026-01-03,Fielding,Site Visit,1.58,Synthetic site visit and local-contact coordination.
WO-35000044,DWR-11000652,US Field Technician 12,Pearce Services,2026-01-03,Fielding,Fielding,1.1,Synthetic aerial/buried field measurements captured.
WO-35000044,DWR-11000653,PSG Technician 10,Pearce Services Global,2026-01-05,Fielding,Field QC,0.63,Synthetic field package reviewed.
WO-35000044,DWR-11000654,PSG Technician 36,Pearce Services Global,2026-01-05,OCALC,Pole loading,2.44,Synthetic pole-loading extraction and submission.
WO-35000044,DWR-11000655,PSG Technician 39,Pearce Services Global,2026-01-07,Design,Design,4.2,Synthetic design production and record correction.
WO-35000044,DWR-11000656,PSG Technician 19,Pearce Services Global,2026-01-07,Design,Design QC,2.39,Synthetic design quality-control review completed.
WO-35000044,DWR-11000657,PSG Technician 07,Pearce Services Global,2026-01-10,Permitting,Permit Admin,2.21,Synthetic permit preparation or submission activity.
WO-35000044,DWR-11000658,PSG Technician 05,Pearce Services Global,2026-01-10,Permitting,Unscaled Permit,2.91,Synthetic permit preparation or submission activity.
WO-35000044,DWR-11000659,PSG Technician 31,Pearce Services Global,2026-01-10,Permitting,Quality Control - Permit,1.13,Synthetic permit preparation or submission activity.
WO-35000044,DWR-11000660,PSG Technician 40,Pearce Services Global,2026-01-11,Final Delivery,Final Delivery,0.61,Synthetic final package review and delivery.
WO-35000044,DWR-11000661,PSG Technician 08,Pearce Services Global,2026-01-11,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000044,DWR-11000662,PSG Technician 21,Pearce Services Global,2026-01-11,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000045,DWR-11000663,PSG Technician 25,Pearce Services Global,2025-10-22,Intake,Intake,0.26,Synthetic WO and project folder created.
WO-35000045,DWR-11000664,PSG Technician 39,Pearce Services Global,2025-10-24,Pre-field,Pre-field,3.13,Synthetic scoping and site-map preparation completed.
WO-35000045,DWR-11000665,US Field Technician 07,Pearce Services,2025-10-28,Fielding,Field Travel,5.06,Synthetic travel to and from the work site.
WO-35000045,DWR-11000666,US Field Technician 07,Pearce Services,2025-10-28,Fielding,Site Visit,2.42,Synthetic site visit and local-contact coordination.
WO-35000045,DWR-11000667,US Field Technician 07,Pearce Services,2025-10-28,Fielding,Fielding,2.5,Synthetic aerial/buried field measurements captured.
WO-35000045,DWR-11000668,PSG Technician 38,Pearce Services Global,2025-11-01,Fielding,Field QC,0.26,Synthetic field package reviewed.
WO-35000045,DWR-11000669,PSG Technician 03,Pearce Services Global,2025-11-01,OCALC,Pole loading,0.66,Synthetic pole-loading extraction and submission.
WO-35000045,DWR-11000670,PSG Technician 28,Pearce Services Global,2025-11-05,Design,Design,4.12,Synthetic design production and record correction.
WO-35000045,DWR-11000671,PSG Technician 12,Pearce Services Global,2025-11-05,Design,Design,8.0,Synthetic design production and record correction.
WO-35000045,DWR-11000672,PSG Technician 34,Pearce Services Global,2025-11-07,Design,Design,2.22,Synthetic design production and record correction.
WO-35000045,DWR-11000673,PSG Technician 30,Pearce Services Global,2025-11-09,Design,Design QC,2.67,Synthetic design quality-control review completed.
WO-35000045,DWR-11000674,PSG Technician 26,Pearce Services Global,2025-11-09,Permitting,Permit Admin,1.53,Synthetic permit preparation or submission activity.
WO-35000045,DWR-11000675,PSG Technician 09,Pearce Services Global,2025-11-09,Permitting,Unscaled Permit,2.89,Synthetic permit preparation or submission activity.
WO-35000045,DWR-11000676,PSG Technician 04,Pearce Services Global,2025-11-09,Permitting,Quality Control - Permit,1.47,Synthetic permit preparation or submission activity.
WO-35000045,DWR-11000677,PSG Technician 29,Pearce Services Global,2025-11-13,Final Delivery,Final Delivery,0.56,Synthetic final package review and delivery.
WO-35000045,DWR-11000678,PSG Technician 06,Pearce Services Global,2025-11-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000045,DWR-11000679,PSG Technician 27,Pearce Services Global,2025-11-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000045,DWR-11000680,PSG Technician 32,Pearce Services Global,2025-11-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000046,DWR-11000681,PSG Technician 07,Pearce Services Global,2025-05-05,Intake,Intake,0.36,Synthetic WO and project folder created.
WO-35000046,DWR-11000682,PSG Technician 20,Pearce Services Global,2025-05-06,Pre-field,Pre-field,3.3,Synthetic scoping and site-map preparation completed.
WO-35000046,DWR-11000683,US Field Technician 17,Pearce Services,2025-05-08,Fielding,Field Travel,0.72,Synthetic travel to and from the work site.
WO-35000046,DWR-11000684,US Field Technician 17,Pearce Services,2025-05-08,Fielding,Site Visit,1.65,Synthetic site visit and local-contact coordination.
WO-35000046,DWR-11000685,US Field Technician 17,Pearce Services,2025-05-08,Fielding,Fielding,1.42,Synthetic aerial/buried field measurements captured.
WO-35000046,DWR-11000686,PSG Technician 14,Pearce Services Global,2025-05-11,Fielding,Field QC,0.24,Synthetic field package reviewed.
WO-35000046,DWR-11000687,PSG Technician 40,Pearce Services Global,2025-05-11,OCALC,Pole loading,1.17,Synthetic pole-loading extraction and submission.
WO-35000046,DWR-11000688,PSG Technician 20,Pearce Services Global,2025-05-12,Design,Design,2.49,Synthetic design production and record correction.
WO-35000046,DWR-11000689,PSG Technician 26,Pearce Services Global,2025-05-12,Design,Design,7.83,Synthetic design production and record correction.
WO-35000046,DWR-11000690,PSG Technician 33,Pearce Services Global,2025-05-12,Design,Design QC,2.9,Synthetic design quality-control review completed.
WO-35000046,DWR-11000691,PSG Technician 16,Pearce Services Global,2025-05-12,Design,Rework - Design,7.15,Synthetic customer or QC corrections implemented.
WO-35000046,DWR-11000692,PSG Technician 39,Pearce Services Global,2025-05-13,Final Delivery,Final Delivery,1.25,Synthetic final package review and delivery.
WO-35000046,DWR-11000693,PSG Technician 26,Pearce Services Global,2025-05-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000046,DWR-11000694,PSG Technician 34,Pearce Services Global,2025-05-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000046,DWR-11000695,PSG Technician 35,Pearce Services Global,2025-05-13,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000047,DWR-11000696,PSG Technician 29,Pearce Services Global,2025-06-07,Intake,Intake,0.25,Synthetic WO and project folder created.
WO-35000047,DWR-11000697,PSG Technician 26,Pearce Services Global,2025-06-08,Pre-field,Pre-field,0.68,Synthetic scoping and site-map preparation completed.
WO-35000047,DWR-11000698,US Field Technician 17,Pearce Services,2025-06-14,Fielding,Field Travel,0.38,Synthetic travel to and from the work site.
WO-35000047,DWR-11000699,US Field Technician 17,Pearce Services,2025-06-14,Fielding,Site Visit,0.78,Synthetic site visit and local-contact coordination.
WO-35000047,DWR-11000700,US Field Technician 17,Pearce Services,2025-06-14,Fielding,Fielding,3.3,Synthetic aerial/buried field measurements captured.
WO-35000047,DWR-11000701,PSG Technician 09,Pearce Services Global,2025-06-18,Fielding,Field QC,0.76,Synthetic field package reviewed.
WO-35000047,DWR-11000702,PSG Technician 13,Pearce Services Global,2025-06-18,OCALC,Pole loading,1.41,Synthetic pole-loading extraction and submission.
WO-35000047,DWR-11000703,PSG Technician 09,Pearce Services Global,2025-06-20,Design,Design,1.48,Synthetic design production and record correction.
WO-35000047,DWR-11000704,PSG Technician 34,Pearce Services Global,2025-06-21,Design,Design QC,1.82,Synthetic design quality-control review completed.
WO-35000047,DWR-11000705,PSG Technician 19,Pearce Services Global,2025-06-21,Design,Rework - Design,3.27,Synthetic customer or QC corrections implemented.
WO-35000047,DWR-11000706,PSG Technician 10,Pearce Services Global,2025-06-25,Final Delivery,Final Delivery,1.14,Synthetic final package review and delivery.
WO-35000047,DWR-11000707,PSG Technician 17,Pearce Services Global,2025-06-25,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000047,DWR-11000708,PSG Technician 24,Pearce Services Global,2025-06-25,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000048,DWR-11000709,PSG Technician 30,Pearce Services Global,2025-03-07,Intake,Intake,0.61,Synthetic WO and project folder created.
WO-35000048,DWR-11000710,PSG Technician 08,Pearce Services Global,2025-03-08,Pre-field,Pre-field,2.98,Synthetic scoping and site-map preparation completed.
WO-35000048,DWR-11000711,US Field Technician 10,Pearce Services,2025-03-10,Fielding,Field Travel,1.73,Synthetic travel to and from the work site.
WO-35000048,DWR-11000712,US Field Technician 10,Pearce Services,2025-03-10,Fielding,Site Visit,0.8,Synthetic site visit and local-contact coordination.
WO-35000048,DWR-11000713,US Field Technician 10,Pearce Services,2025-03-10,Fielding,Fielding,0.88,Synthetic aerial/buried field measurements captured.
WO-35000048,DWR-11000714,PSG Technician 35,Pearce Services Global,2025-03-14,Fielding,Field QC,0.54,Synthetic field package reviewed.
WO-35000048,DWR-11000715,PSG Technician 14,Pearce Services Global,2025-03-14,OCALC,Pole loading,2.02,Synthetic pole-loading extraction and submission.
WO-35000048,DWR-11000716,PSG Technician 12,Pearce Services Global,2025-03-15,Design,Design,1.44,Synthetic design production and record correction.
WO-35000048,DWR-11000717,PSG Technician 05,Pearce Services Global,2025-03-17,Design,Design QC,0.99,Synthetic design quality-control review completed.
WO-35000048,DWR-11000718,PSG Technician 04,Pearce Services Global,2025-03-17,Permitting,Permit Admin,0.35,Synthetic permit preparation or submission activity.
WO-35000048,DWR-11000719,PSG Technician 33,Pearce Services Global,2025-03-17,Permitting,Quality Control - Permit,0.79,Synthetic permit preparation or submission activity.
WO-35000048,DWR-11000720,PSG Technician 19,Pearce Services Global,2025-03-18,Final Delivery,Final Delivery,1.04,Synthetic final package review and delivery.
WO-35000048,DWR-11000721,PSG Technician 31,Pearce Services Global,2025-03-18,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000049,DWR-11000722,PSG Technician 10,Pearce Services Global,2025-04-30,Intake,Intake,0.54,Synthetic WO and project folder created.
WO-35000049,DWR-11000723,PSG Technician 04,Pearce Services Global,2025-04-30,Pre-field,Pre-field,2.57,Synthetic scoping and site-map preparation completed.
WO-35000049,DWR-11000724,US Field Technician 09,Pearce Services,2025-05-04,Fielding,Field Travel,2.05,Synthetic travel to and from the work site.
WO-35000049,DWR-11000725,US Field Technician 09,Pearce Services,2025-05-04,Fielding,Site Visit,2.17,Synthetic site visit and local-contact coordination.
WO-35000049,DWR-11000726,US Field Technician 09,Pearce Services,2025-05-04,Fielding,Fielding,3.45,Synthetic aerial/buried field measurements captured.
WO-35000049,DWR-11000727,PSG Technician 02,Pearce Services Global,2025-05-07,Fielding,Field QC,0.22,Synthetic field package reviewed.
WO-35000049,DWR-11000728,PSG Technician 08,Pearce Services Global,2025-05-07,OCALC,Pole loading,2.06,Synthetic pole-loading extraction and submission.
WO-35000049,DWR-11000729,PSG Technician 26,Pearce Services Global,2025-05-11,Design,Design,8.14,Synthetic design production and record correction.
WO-35000049,DWR-11000730,PSG Technician 36,Pearce Services Global,2025-05-12,Design,Design,2.16,Synthetic design production and record correction.
WO-35000049,DWR-11000731,PSG Technician 38,Pearce Services Global,2025-05-14,Design,Design QC,2.99,Synthetic design quality-control review completed.
WO-35000049,DWR-11000732,PSG Technician 39,Pearce Services Global,2025-05-15,Permitting,Unscaled Permit,3.86,Synthetic permit preparation or submission activity.
WO-35000049,DWR-11000733,PSG Technician 16,Pearce Services Global,2025-05-15,Permitting,Quality Control - Permit,1.17,Synthetic permit preparation or submission activity.
WO-35000049,DWR-11000734,PSG Technician 34,Pearce Services Global,2025-05-16,Final Delivery,Final Delivery,1.41,Synthetic final package review and delivery.
WO-35000049,DWR-11000735,PSG Technician 01,Pearce Services Global,2025-05-16,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000050,DWR-11000736,PSG Technician 06,Pearce Services Global,2025-02-24,Intake,Intake,0.27,Synthetic WO and project folder created.
WO-35000050,DWR-11000737,PSG Technician 25,Pearce Services Global,2025-02-24,Pre-field,Pre-field,2.54,Synthetic scoping and site-map preparation completed.
WO-35000050,DWR-11000738,US Field Technician 16,Pearce Services,2025-02-28,Fielding,Field Travel,1.69,Synthetic travel to and from the work site.
WO-35000050,DWR-11000739,US Field Technician 16,Pearce Services,2025-02-28,Fielding,Site Visit,1.62,Synthetic site visit and local-contact coordination.
WO-35000050,DWR-11000740,US Field Technician 16,Pearce Services,2025-02-28,Fielding,Fielding,5.22,Synthetic aerial/buried field measurements captured.
WO-35000050,DWR-11000741,PSG Technician 38,Pearce Services Global,2025-03-04,Fielding,Field QC,0.35,Synthetic field package reviewed.
WO-35000050,DWR-11000742,PSG Technician 40,Pearce Services Global,2025-03-04,OCALC,Pole loading,2.27,Synthetic pole-loading extraction and submission.
WO-35000050,DWR-11000743,PSG Technician 39,Pearce Services Global,2025-03-07,Design,Design,6.96,Synthetic design production and record correction.
WO-35000050,DWR-11000744,PSG Technician 30,Pearce Services Global,2025-03-09,Design,Design,1.21,Synthetic design production and record correction.
WO-35000050,DWR-11000745,PSG Technician 30,Pearce Services Global,2025-03-11,Design,Design,3.71,Synthetic design production and record correction.
WO-35000050,DWR-11000746,PSG Technician 38,Pearce Services Global,2025-03-11,Design,Design QC,2.35,Synthetic design quality-control review completed.
WO-35000050,DWR-11000747,PSG Technician 27,Pearce Services Global,2025-03-13,Permitting,Permit Admin,0.97,Synthetic permit preparation or submission activity.
WO-35000050,DWR-11000748,PSG Technician 18,Pearce Services Global,2025-03-13,Permitting,Quality Control - Permit,0.87,Synthetic permit preparation or submission activity.
WO-35000050,DWR-11000749,PSG Technician 33,Pearce Services Global,2025-03-15,Final Delivery,Final Delivery,1.07,Synthetic final package review and delivery.
WO-35000050,DWR-11000750,PSG Technician 34,Pearce Services Global,2025-03-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000050,DWR-11000751,PSG Technician 30,Pearce Services Global,2025-03-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000051,DWR-11000752,PSG Technician 04,Pearce Services Global,2026-05-25,Intake,Intake,0.34,Synthetic WO and project folder created.
WO-35000051,DWR-11000753,PSG Technician 40,Pearce Services Global,2026-05-27,Pre-field,Pre-field,1.7,Synthetic scoping and site-map preparation completed.
WO-35000051,DWR-11000754,US Field Technician 08,Pearce Services,2026-06-01,Fielding,Field Travel,1.02,Synthetic travel to and from the work site.
WO-35000051,DWR-11000755,US Field Technician 08,Pearce Services,2026-06-01,Fielding,Site Visit,1.84,Synthetic site visit and local-contact coordination.
WO-35000051,DWR-11000756,US Field Technician 08,Pearce Services,2026-06-01,Fielding,Fielding,1.65,Synthetic aerial/buried field measurements captured.
WO-35000051,DWR-11000757,PSG Technician 13,Pearce Services Global,2026-06-04,Fielding,Field QC,0.68,Synthetic field package reviewed.
WO-35000051,DWR-11000758,PSG Technician 12,Pearce Services Global,2026-06-06,Design,Design,1.14,Synthetic design production and record correction.
WO-35000051,DWR-11000759,PSG Technician 14,Pearce Services Global,2026-06-06,Design,Design,7.09,Synthetic design production and record correction.
WO-35000051,DWR-11000760,PSG Technician 27,Pearce Services Global,2026-06-06,Design,Design,7.08,Synthetic design production and record correction.
WO-35000051,DWR-11000761,PSG Technician 28,Pearce Services Global,2026-06-06,Design,Design QC,2.13,Synthetic design quality-control review completed.
WO-35000051,DWR-11000762,PSG Technician 34,Pearce Services Global,2026-06-07,Permitting,Permit Admin,1.68,Synthetic permit preparation or submission activity.
